case_id,issue_type,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
CASE001,VLAN,"PC in VLAN 10 cannot communicate with another PC in VLAN 10","Two PCs connected to SW1 access ports Fa0/1 and Fa0/2; both should belong to VLAN 10","show vlan brief: VLAN 10 missing","VLAN 10 is not created on the switch","Layer 2","VLAN configuration","High"
CASE002,VLAN,"PC receives an IP but cannot reach devices in its VLAN","PC connected to SW1 Fa0/5; port should be assigned to VLAN 20","show vlan brief: Fa0/5 appears in VLAN 1","Access port is assigned to the wrong VLAN","Layer 2","Access VLAN assignment","High"
CASE003,VLAN,"Users on one switch cannot reach users on another switch in the same VLAN","SW1 and SW2 connected using Gi0/1 trunk link; VLAN 30 required across both switches","show interfaces trunk: VLAN 30 not allowed","VLAN 30 is missing from the trunk allowed list","Layer 2","802.1Q trunking","High"
CASE004,VLAN,"Inter-VLAN communication fails for VLAN 40 users","Router-on-a-stick connects R1 to SW1","show interfaces trunk: switch uplink operating as access port","Switch-router link is not configured as a trunk","Layer 2","Inter-VLAN trunking","High"
CASE005,Gateway,"PC can communicate locally but cannot reach remote networks","PC in VLAN 10 uses R1 as default gateway","ipconfig: default gateway 192.168.20.1; VLAN 10 gateway is 192.168.10.1","PC has an incorrect default gateway","Layer 3","Default gateway","High"
CASE006,Gateway,"PC has valid IP but cannot ping its router gateway","PC connected to SW1 access port in VLAN 20","ipconfig: 192.168.20.25/24; gateway 192.168.20.1; show ip interface brief: G0/0 192.168.30.1","Gateway address does not match the local subnet","Layer 3","Gateway addressing","High"
CASE007,Gateway,"Multiple PCs in the same subnet cannot reach the gateway","PCs use 192.168.30.0/24","show ip interface brief: router interface G0/0 is administratively down","Router gateway interface is shut down","Layer 3","Router interface state","Critical"
CASE008,DHCP,"PC automatically receives an APIPA address","DHCP server is located on another subnet behind R1","ipconfig: 169.254.10.22; show ip dhcp pool: available addresses remain","DHCP requests are not reaching the remote DHCP server","Layer 3","DHCP relay","High"
CASE009,DHCP,"PC receives an address from the wrong subnet","DHCP server has pools for VLAN 10 and VLAN 20","show ip dhcp binding: client receives 192.168.10.x while connected to VLAN 20","DHCP pool/network configuration is incorrect","Layer 3","DHCP scope","High"
CASE010,DHCP,"Some clients receive addresses while others fail","Large number of PCs share the same DHCP pool","show ip dhcp pool: maximum addresses exhausted","DHCP address pool has no available leases","Layer 3","DHCP address allocation","Medium"
